config,custom_avg_time_ms,custom_min_time_ms,custom_max_time_ms,custom_avg_mem_mb,custom_min_mem_mb,custom_max_mem_mb,torch_avg_time_ms,torch_min_time_ms,torch_max_time_ms,torch_avg_mem_mb,torch_min_mem_mb,torch_max_mem_mb,output_allclose,max_abs_diff,mean_abs_diff,mse
B1_InC3_InH128W128_OutC64_K1x1_P0x0_S1x1_BiasFalse,0.06555520035326481,0.05411199852824211,0.0899839997291565,11.3884765625,4.1884765625,12.1884765625,0.05811839979141951,0.027615999802947044,0.10841599851846695,15.389453125,8.189453125,16.189453125,True,,,
B1_InC3_InH256W256_OutC64_K1x1_P0x0_S1x1_BiasFalse,0.21934079974889756,0.11068800091743469,0.8980479836463928,45.5509765625,16.7509765625,48.7509765625,0.21697279885411264,0.09116800129413605,0.9994239807128906,62.55341796875,33.75341796875,65.75341796875,False,0.0075495243072509766,0.0003293268964625895,2.399469849478919e-07
B1_InC3_InH512W512_OutC64_K1x1_P0x0_S1x1_BiasFalse,0.7098624110221863,0.3433600068092346,2.2713921070098877,182.2009765625,67.0009765625,195.0009765625,0.42793280482292173,0.18329599499702454,2.264064073562622,247.70244140625,132.50244140625,260.50244140625,True,,,
B1_InC3_InH1024W1024_OutC32_K1x1_P0x0_S1x1_BiasFalse,1.1209888279438018,0.6533120274543762,4.255616188049316,370.40048828125,140.00048828125,396.00048828125,1.1527872025966643,0.6079999804496765,4.128672122955322,498.4009765625,268.0009765625,524.0009765625,True,,,
B1_InC3_InH128W128_OutC64_K3x3_P1x1_S1x1_BiasFalse,0.07347520142793655,0.07145600020885468,0.07788799703121185,11.3943359375,4.1943359375,12.1943359375,0.05567679964005947,0.023552000522613525,0.10751999914646149,15.49541015625,8.29541015625,16.29541015625,True,,,
B1_InC3_InH256W256_OutC64_K3x3_P1x1_S1x1_BiasFalse,0.1958431988954544,0.17919999361038208,0.20988799631595612,45.5568359375,16.7568359375,48.7568359375,0.07963839918375015,0.06758400052785873,0.09216000139713287,61.93916015625,33.13916015625,65.13916015625,True,,,
B1_InC3_InH512W512_OutC64_K3x3_P1x1_S1x1_BiasFalse,0.7736447930335999,0.6104320287704468,2.1790719032287598,182.2068359375,67.0068359375,195.0068359375,0.20406720340251921,0.18121600151062012,0.24166400730609894,247.71416015625,132.51416015625,260.51416015625,True,,,
B1_InC3_InH1024W1024_OutC32_K3x3_P1x1_S1x1_BiasFalse,1.2519872069358826,1.1992000341415405,1.3712960481643677,370.40341796875,140.00341796875,396.00341796875,0.6945568025112152,0.638975977897644,0.821183979511261,498.4068359375,268.0068359375,524.0068359375,True,,,
B1_InC3_InH128W128_OutC64_K5x5_P2x2_S1x1_BiasFalse,0.13075840026140212,0.12195199728012085,0.1515520066022873,11.4060546875,4.2060546875,12.2060546875,0.042863999120891096,0.025599999353289604,0.08275199681520462,15.51884765625,8.31884765625,16.31884765625,True,,,
B1_InC3_InH256W256_OutC64_K5x5_P2x2_S1x1_BiasFalse,0.5313728004693985,0.3768320083618164,1.623039960861206,45.5685546875,16.7685546875,48.7685546875,0.12418240010738373,0.08601599931716919,0.3092480003833771,61.96259765625,33.16259765625,65.16259765625,True,,,
B1_InC3_InH512W512_OutC64_K5x5_P2x2_S1x1_BiasFalse,1.4797919869422913,1.3875199556350708,1.9619840383529663,182.2185546875,67.0185546875,195.0185546875,0.2606719970703125,0.24854399263858795,0.2956799864768982,247.73759765625,132.53759765625,260.53759765625,True,,,
B1_InC3_InH1024W1024_OutC32_K5x5_P2x2_S1x1_BiasFalse,2.9955999851226807,2.7959039211273193,4.127744197845459,370.40927734375,140.00927734375,396.00927734375,0.7029535949230195,0.6705920100212097,0.7885439991950989,498.4185546875,268.0185546875,524.0185546875,True,,,
